"Genus","logFC","SE","W","p_value","FDR","Differential","Passed_SS","Robust"
"Klebsiella",3.50237903909434,0.381282463702755,9.18578579534351,2.10842267241769e-11,2.19275957931439e-09,TRUE,FALSE,FALSE
"Enterococcus",2.86654967030926,0.270551805245363,10.5951969816264,3.64211674534229e-09,1.89390070757799e-07,TRUE,FALSE,FALSE
"Clostridium sensu stricto 1",2.94876073217102,0.26611918582676,11.0806018100875,6.47074413458417e-09,2.24319129998918e-07,TRUE,FALSE,FALSE
"Sphingomonas",1.85098241447211,0.20675098837191,8.95271374056267,1.96476021020658e-08,4.0867012372297e-07,TRUE,FALSE,FALSE
"Escherichia-Shigella",3.2525795869793,0.515522424281519,6.30928827492306,1.77367512596621e-08,4.0867012372297e-07,TRUE,FALSE,FALSE
"Enterobacter",2.4747775804305,0.307925826473951,8.0369276223729,1.56504198687129e-07,2.71273944391024e-06,TRUE,FALSE,FALSE
"Rikenellaceae RC9 gut group",-1.6332004442173,0.186648287837022,-8.75014961639176,5.32620283253565e-06,7.91321563691011e-05,TRUE,FALSE,FALSE
"Ligilactobacillus",-1.76551231418555,0.270797537778966,-6.51967639242949,9.69352944019563e-06,0.000126015882722543,TRUE,FALSE,FALSE
"Family XIII UCG-001",-0.910355646825012,0.190284360892019,-4.78418532430846,9.99268291828341e-05,0.00115471002611275,TRUE,FALSE,FALSE
"Carnobacterium",0.892147565938139,0.176585892802792,5.05220180263478,0.000143157441572134,0.00148883739235019,TRUE,FALSE,FALSE
"Cryptobacterium",0.918517569045607,0.189038713439267,4.85888605743553,0.000208419527742751,0.00194752137041814,TRUE,FALSE,FALSE
"Cardiobacterium",0.917533348095519,0.22824789469492,4.01989840616891,0.000224714004279016,0.00194752137041814,TRUE,FALSE,FALSE
"Mobiluncus",0.886313707833215,0.17914101931425,4.94757544210708,0.000337754610075778,0.00270203688060623,TRUE,FALSE,FALSE
"Bradyrhizobium",-0.935274395054193,0.228323500312512,-4.09626864415647,0.000561704408829419,0.00417266132273283,TRUE,FALSE,FALSE
"Bacillus",0.755531813005885,0.205771235572388,3.67170761697689,0.000967780543788495,0.00670994510360023,TRUE,FALSE,FALSE
"[Eubacterium] saphenum group",0.745208381935741,0.179264826851091,4.1570250842055,0.00132982722950017,0.00864387699175108,TRUE,FALSE,FALSE
"Treponema",-0.913909494684059,0.271126632143988,-3.37078466787692,0.00148743142914249,0.00909958050769523,TRUE,FALSE,FALSE
"Parascardovia",-0.716299912877768,0.193494624476768,-3.70191117616175,0.00236834223582879,0.0136837551403441,TRUE,FALSE,FALSE
"Defluviitaleaceae UCG-011",0.555393359430422,0.170891123089491,3.24998367024352,0.00632843225487182,0.0346398397108773,TRUE,FALSE,FALSE
"HT002",0.852220983326368,0.310478911867651,2.74485947596224,0.00894405585501213,0.0465090904460631,TRUE,FALSE,FALSE
"Burkholderia-Caballeronia-Paraburkholderia",-0.537114491097514,0.17687525509993,-3.03668532262503,0.011313385626487,0.0560281954835549,FALSE,TRUE,FALSE
"Mycobacterium",0.529777437931902,0.185015759232684,2.86341790628565,0.0168578475023589,0.0779519087461391,FALSE,TRUE,FALSE
"Romboutsia",-0.637782750172546,0.230976564284101,-2.76124442386316,0.0172393644342423,0.0779519087461391,FALSE,TRUE,FALSE
"Butyrivibrio",0.447445584124611,0.174820718012621,2.55945398927092,0.025026647317205,0.108448805041222,FALSE,TRUE,FALSE
"Filifactor",0.450530605340596,0.191875853304747,2.34803180067187,0.0282733190191891,0.117617007119827,FALSE,TRUE,FALSE
"F0058",0.512131848393886,0.237806874272949,2.15356200261089,0.038453556524633,0.148745301174134,FALSE,TRUE,FALSE
"Staphylococcus",-0.541199154716107,0.254005033271215,-2.13066311224722,0.0386165685740539,0.148745301174134,FALSE,TRUE,FALSE
"Erysipelotrichaceae UCG-006",0.42204344669896,0.189527455161389,2.22681957260268,0.040670856870113,0.15106318266042,FALSE,TRUE,FALSE
"Cupriavidus",-0.434890881128092,0.19457756533366,-2.23505150957329,0.0435932534426266,0.156334426139075,FALSE,TRUE,FALSE
"Scardovia",-0.450460515377033,0.221929899504373,-2.02974234829569,0.050766668204484,0.170313983653753,FALSE,TRUE,FALSE
"Delftia",-0.407210211646887,0.197164838136566,-2.06532876498411,0.0494068328536979,0.170313983653753,FALSE,TRUE,FALSE
"Rothia",0.692179774581061,0.358866026039,1.92879716762555,0.0561578230073243,0.171776870375345,FALSE,TRUE,FALSE
"Limosilactobacillus",-0.574719678930797,0.290412313594331,-1.97897834226688,0.0559636237965383,0.171776870375345,FALSE,TRUE,FALSE
"Serratia",-0.442843770874978,0.206409944772927,-2.1454575328827,0.0530718281151012,0.171776870375345,FALSE,TRUE,FALSE
"Alloprevotella",-0.58977730371226,0.330378907363072,-1.78515422918365,0.077605229303465,0.230598395644582,FALSE,TRUE,FALSE
"Pelomonas",0.341328926727313,0.188833981280515,1.8075609295144,0.100802452948348,0.291207086295229,FALSE,TRUE,FALSE
"Selenomonas",0.427166255275805,0.273220932128396,1.56344629947702,0.121308160724871,0.340974289605042,FALSE,TRUE,FALSE
"Kingella",0.412784837066792,0.269153932512476,1.53363851389263,0.129971886691988,0.355712531999126,FALSE,TRUE,FALSE
"F0332",0.323259402710023,0.212840152872626,1.51878956271694,0.135375264466392,0.358368818125054,FALSE,TRUE,FALSE
"Neisseria",-0.615414096538458,0.411502617729447,-1.4955289954998,0.137834160817328,0.358368818125054,FALSE,TRUE,FALSE
