"Genus","logFC","SE","W","p_value","FDR","Differential","Passed_SS","Robust"
"Klebsiella",3.37220095376576,0.364838622766514,9.24299332180046,1.40355026291676e-11,1.45969227343343e-09,TRUE,FALSE,FALSE
"Enterococcus",3.21282431363273,0.265520347662505,12.1001058559793,2.25142577609245e-10,1.17074140356808e-08,TRUE,FALSE,FALSE
"Clostridium sensu stricto 1",2.87146675822675,0.249970400214039,11.487227110762,1.95685425984139e-09,6.78376143411683e-08,TRUE,FALSE,FALSE
"Sphingomonas",1.76611432123287,0.194067612767973,9.10051036359392,9.82754005989432e-09,2.55516041557252e-07,TRUE,FALSE,FALSE
"Enterobacter",2.6473913707604,0.296984437982217,8.91424274196791,2.10645960570689e-08,3.65119664989195e-07,TRUE,FALSE,FALSE
"Escherichia-Shigella",3.27047579440878,0.519434444075745,6.29622434882635,1.79863431022014e-08,3.65119664989195e-07,TRUE,FALSE,FALSE
"Rikenellaceae RC9 gut group",-1.78700737129972,0.163654190645083,-10.9194110108381,3.04927078978013e-07,4.53034517338762e-06,TRUE,FALSE,FALSE
"Carnobacterium",0.886663444124644,0.15539133372584,5.7060031783304,3.24733389449395e-05,0.000375247472252634,TRUE,FALSE,FALSE
"Family XIII UCG-001",-0.881165328136219,0.169047293342425,-5.21253733623119,3.15376741042264e-05,0.000375247472252634,TRUE,FALSE,FALSE
"Cryptobacterium",0.895985246495734,0.166346754382076,5.38625024470134,6.05799380258575e-05,0.000630031355468918,TRUE,FALSE,FALSE
"Mobiluncus",0.895229732421528,0.158884046574241,5.63448471840889,8.13898412383517e-05,0.000769503953526235,TRUE,FALSE,FALSE
"Bradyrhizobium",-1.08113619988351,0.224121985548729,-4.82387391507581,9.09422514209292e-05,0.000788166178981387,TRUE,FALSE,FALSE
"Cardiobacterium",0.881363528686002,0.209892473560318,4.19911926204787,0.000124834109890105,0.000998672879120842,TRUE,FALSE,FALSE
"Bacillus",0.780051918650786,0.186789005745793,4.17611259044006,0.000234839048523653,0.00174451864617571,TRUE,FALSE,FALSE
"Parascardovia",-0.735737259840279,0.174132660433243,-4.22515373055096,0.000734634680950159,0.00509346712125444,TRUE,FALSE,FALSE
"Treponema",-0.886387252803123,0.250667045027142,-3.53611402211706,0.000898432960408897,0.00583981424265783,TRUE,FALSE,FALSE
"HT002",1.07949973229797,0.309167481481336,3.49163413670056,0.00114321547207918,0.00699378877036673,TRUE,FALSE,FALSE
"Ligilactobacillus",-1.01239466095128,0.258316653069757,-3.91920013255163,0.0012232876007713,0.00706788391556752,TRUE,FALSE,FALSE
"[Eubacterium] saphenum group",0.638782553302228,0.157869126738458,4.0462791332247,0.00138602854001255,0.00758668253480553,TRUE,FALSE,FALSE
"Mycobacterium",0.601913109717161,0.164121619656998,3.66748214510139,0.00370587389086202,0.0192705442324825,TRUE,FALSE,FALSE
"Burkholderia-Caballeronia-Paraburkholderia",-0.526375456445004,0.152982222141903,-3.44076226031511,0.00488759225423849,0.0242052187828954,TRUE,FALSE,FALSE
