"Genus","logFC_unadjusted","FDR_unadjusted","logFC_adjusted","FDR_adjusted"
"Klebsiella",3.37220095376576,1.45969227343343e-09,3.50237903909434,2.19275957931439e-09
"Enterococcus",3.21282431363273,1.17074140356808e-08,2.86654967030926,1.89390070757799e-07
"Clostridium sensu stricto 1",2.87146675822675,6.78376143411683e-08,2.94876073217102,2.24319129998918e-07
"Escherichia-Shigella",3.27047579440878,3.65119664989195e-07,3.2525795869793,4.0867012372297e-07
"Sphingomonas",1.76611432123287,2.55516041557252e-07,1.85098241447211,4.0867012372297e-07
"Enterobacter",2.6473913707604,3.65119664989195e-07,2.4747775804305,2.71273944391024e-06
"Rikenellaceae RC9 gut group",-1.78700737129972,4.53034517338762e-06,-1.6332004442173,7.91321563691011e-05
"Ligilactobacillus",-1.01239466095128,0.00706788391556752,-1.76551231418555,0.000126015882722543
"Family XIII UCG-001",-0.881165328136219,0.000375247472252634,-0.910355646825012,0.00115471002611275
"Carnobacterium",0.886663444124644,0.000375247472252634,0.892147565938139,0.00148883739235019
"Cardiobacterium",0.881363528686002,0.000998672879120842,0.917533348095519,0.00194752137041814
"Cryptobacterium",0.895985246495734,0.000630031355468918,0.918517569045607,0.00194752137041814
"Mobiluncus",0.895229732421528,0.000769503953526235,0.886313707833215,0.00270203688060623
"Bradyrhizobium",-1.08113619988351,0.000788166178981387,-0.935274395054193,0.00417266132273283
"Bacillus",0.780051918650786,0.00174451864617571,0.755531813005885,0.00670994510360023
"[Eubacterium] saphenum group",0.638782553302228,0.00758668253480553,0.745208381935741,0.00864387699175108
"Treponema",-0.886387252803123,0.00583981424265783,-0.913909494684059,0.00909958050769523
"Parascardovia",-0.735737259840279,0.00509346712125444,-0.716299912877768,0.0136837551403441
"Defluviitaleaceae UCG-011",0.334802556312375,0.167120710415139,0.555393359430422,0.0346398397108773
"HT002",1.07949973229797,0.00699378877036673,0.852220983326368,0.0465090904460631
"Burkholderia-Caballeronia-Paraburkholderia",-0.526375456445004,0.0242052187828954,-0.537114491097514,0.0560281954835549
"Mycobacterium",0.601913109717161,0.0192705442324825,0.529777437931902,0.0779519087461391
"Filifactor",0.467582577185608,0.0447970841365859,0.450530605340596,0.117617007119827
"Scardovia",-0.5943521520627,0.0379584810421643,-0.450460515377033,0.170313983653753
