"Genero","logFC","IC95","FDR"
"Klebsiella",3.5,"2.76 a 4.25","2.19e-09"
"Enterococcus",2.87,"2.34 a 3.4","1.89e-07"
"Clostridium sensu stricto 1",2.95,"2.43 a 3.47","2.24e-07"
"Sphingomonas",1.85,"1.45 a 2.26","4.09e-07"
"Escherichia-Shigella",3.25,"2.24 a 4.26","4.09e-07"
"Enterobacter",2.47,"1.87 a 3.08","2.71e-06"
"Rikenellaceae RC9 gut group",-1.63,"-2 a -1.27","7.91e-05"
"Ligilactobacillus",-1.77,"-2.3 a -1.23","1.26e-04"
"Family XIII UCG-001",-0.91,"-1.28 a -0.54","1.15e-03"
"Carnobacterium",0.89,"0.55 a 1.24","1.49e-03"
"Cryptobacterium",0.92,"0.55 a 1.29","1.95e-03"
"Cardiobacterium",0.92,"0.47 a 1.36","1.95e-03"
"Mobiluncus",0.89,"0.54 a 1.24","2.70e-03"
"Bradyrhizobium",-0.94,"-1.38 a -0.49","4.17e-03"
"Bacillus",0.76,"0.35 a 1.16","6.71e-03"
"[Eubacterium] saphenum group",0.75,"0.39 a 1.1","8.64e-03"
"Treponema",-0.91,"-1.45 a -0.38","9.10e-03"
"Parascardovia",-0.72,"-1.1 a -0.34","1.37e-02"
"Defluviitaleaceae UCG-011",0.56,"0.22 a 0.89","3.46e-02"
"HT002",0.85,"0.24 a 1.46","4.65e-02"
