"","reads.in","reads.out"
"SRR34123969_1.fastq",205667,138972
"SRR34123976_1.fastq",610614,86315
"SRR34123981_1.fastq",560413,95690
"SRR34123987_1.fastq",221527,127235
"SRR34123993_1.fastq",222316,130713
"SRR34123996_1.fastq",783303,417711
"SRR34124000_1.fastq",230430,112913
"SRR34124003_1.fastq",421254,252875
"SRR34124004_1.fastq",60325,33977
"SRR34124005_1.fastq",473048,287015
"SRR34124014_1.fastq",327800,134249
"SRR34124017_1.fastq",411546,184593
"SRR34124018_1.fastq",347955,150846
"SRR34124022_1.fastq",685889,272554
"SRR34124044_1.fastq",246035,150742
"SRR34124045_1.fastq",384982,285861
"SRR34124052_1.fastq",85353,50479
"SRR34124055_1.fastq",534823,116305
"SRR34124059_1.fastq",287025,150909
"SRR34124061_1.fastq",468023,300053
"SRR34124077_1.fastq",273014,141322
"SRR34124095_1.fastq",506193,49952
"SRR34124097_1.fastq",577955,48781
"SRR34124108_1.fastq",312546,213813
"SRR34124109_1.fastq",291362,213795
"SRR34124110_1.fastq",285476,216137
"SRR34124112_1.fastq",234640,155179
"SRR34124114_1.fastq",217267,142283
"SRR34124116_1.fastq",239749,167100
"SRR34124120_1.fastq",629713,119177
"SRR34124141_1.fastq",262556,145504
"SRR34124142_1.fastq",313264,185692
"SRR34124148_1.fastq",68727,40489
"SRR34124154_1.fastq",200289,55390
"SRR34124155_1.fastq",275640,65849
"SRR34124156_1.fastq",272921,78860
"SRR34124162_1.fastq",249650,142756
"SRR34124164_1.fastq",214147,119328
"SRR34124176_1.fastq",581308,241451
"SRR34124180_1.fastq",382960,168144
"SRR34124187_1.fastq",525877,49291
"SRR34124191_1.fastq",499728,162837
"SRR34124194_1.fastq",570116,205388
"SRR34124198_1.fastq",564340,185026
"SRR34124215_1.fastq",533926,288439
"SRR34124217_1.fastq",581718,292258
"SRR34124220_1.fastq",293688,226461
"SRR34124223_1.fastq",296150,213267
"SRR34124225_1.fastq",342185,243272
"SRR34124233_1.fastq",259596,190809
"SRR34124235_1.fastq",210263,153049
"SRR34124246_1.fastq",378536,154774
"SRR34124249_1.fastq",453337,152886
"SRR34124255_1.fastq",151568,119406
"SRR34123979_1.fastq",572517,83752
"SRR34123985_1.fastq",54217,32673
"SRR34123992_1.fastq",182417,109923
"SRR34123997_1.fastq",220137,108660
"SRR34124007_1.fastq",328688,139878
"SRR34124013_1.fastq",431666,181224
"SRR34124030_1.fastq",421745,51863
"SRR34124031_1.fastq",257350,134372
"SRR34124035_1.fastq",218262,137975
"SRR34124050_1.fastq",220783,138475
"SRR34124056_1.fastq",401175,251706
"SRR34124078_1.fastq",112352,30953
"SRR34124081_1.fastq",477439,41119
"SRR34124086_1.fastq",472452,54920
"SRR34124098_1.fastq",456032,40660
"SRR34124117_1.fastq",198531,137036
"SRR34124133_1.fastq",270101,165409
"SRR34124139_1.fastq",483406,287881
"SRR34124150_1.fastq",108599,74945
"SRR34124158_1.fastq",374588,220475
"SRR34124163_1.fastq",180162,50183
"SRR34124166_1.fastq",227223,127816
"SRR34124172_1.fastq",244381,125250
"SRR34124213_1.fastq",30344,13690
"SRR34124227_1.fastq",364486,264520
"SRR34124228_1.fastq",246857,180032
"SRR34124230_1.fastq",280223,169241
"SRR34124232_1.fastq",39909,9023
"SRR34124260_1.fastq",146645,84419
"SRR34124181_1.fastq",699246,271893
"SRR34124182_1.fastq",366300,39735
"SRR34124183_1.fastq",475819,45065
"SRR34124184_1.fastq",527882,45891
"SRR34124185_1.fastq",346487,241614
"SRR34124186_1.fastq",403734,37325
"SRR34124188_1.fastq",703564,243514
"SRR34124189_1.fastq",445259,160696
"SRR34124190_1.fastq",520784,164146
"SRR34124192_1.fastq",673770,229668
"SRR34124193_1.fastq",385913,135769
"SRR34124195_1.fastq",777903,271895
"SRR34124196_1.fastq",199317,57315
"SRR34124197_1.fastq",601213,188133
"SRR34124199_1.fastq",256688,158466
"SRR34124200_1.fastq",33717,20359
"SRR34124201_1.fastq",161463,83757
"SRR34124202_1.fastq",585607,320987
"SRR34124203_1.fastq",659546,355384
"SRR34124204_1.fastq",330620,143781
"SRR34124205_1.fastq",799772,451066
"SRR34124206_1.fastq",637232,356032
"SRR34124207_1.fastq",476003,241869
"SRR34124208_1.fastq",438817,230803
"SRR34124209_1.fastq",260101,191407
"SRR34124248_1.fastq",538551,196897
"SRR34124250_1.fastq",158264,113132
"SRR34124251_1.fastq",343189,233746
"SRR34124252_1.fastq",219608,151475
"SRR34124253_1.fastq",223226,158767
"SRR34124254_1.fastq",218814,155700
"SRR34124256_1.fastq",202768,142384
"SRR34124257_1.fastq",278455,190693
"SRR34124258_1.fastq",326654,231864
"SRR34124259_1.fastq",207961,133895
"SRR34124262_1.fastq",129554,87763
"SRR34124263_1.fastq",211511,151278
"SRR34124264_1.fastq",226285,154323
"SRR34124265_1.fastq",213281,143365
"SRR34124266_1.fastq",627563,456897
