"Genus","SIBO_NEG","SIBO_POS","Media_global"
"Streptococcus",37.51,25.84,32.38
"Veillonella",11.15,10.78,10.99
"Prevotella_7",6.28,5.98,6.15
"Escherichia-Shigella",0.45,11.67,5.38
"Rothia",3.05,3.41,3.21
"Fusobacterium",2.83,3.39,3.08
"Neisseria",3.57,2.4,3.05
"Leptotrichia",2.93,2.14,2.59
"Granulicatella",2.45,2.05,2.27
"Haemophilus",2.65,1.73,2.24
"Klebsiella",0.02,4.97,2.19
"Gemella",2.44,1.54,2.04
"Prevotella",2.45,1.33,1.96
"Actinomyces",1.94,1.51,1.75
"Lactobacillus",1.49,1.52,1.5
